Wavelength,Wavenumber,Epsilon
199.8294869,50043,404
200.4203936,49895,407
201.0151416,49747,412
201.6137257,49600,420
202.2162042,49452,431
202.8224654,49304,445
203.4250548,49158,458
203.9948092,49021,472
204.5862808,48879,489
205.0602912,48766,503
205.5106802,48659,520
206.007892,48542,539
206.5223518,48421,556
206.9793716,48314,577
207.4735766,48199,596
207.9348207,48092,618
208.4336948,47977,641
208.8813977,47874,665
209.3309862,47771,689
209.8366208,47656,715
210.3086887,47549,745
210.8192327,47434,775
211.2956134,47327,805
211.8109507,47212,837
212.2733833,47109,871
212.7111706,47012,902
213.0831252,46930,936
213.3109886,46880,972
213.3109886,46880,972
213.6284,46810,986
214.0796358,46712,1017
214.3529761,46652,1070
214.7430107,46567,1115
215.0368517,46504,1159
215.3802211,46430,1201
215.7410824,46352,1245
216.1199122,46271,1301
216.4997613,46189,1350
216.7321052,46140,1394
217.0416243,46074,1445
217.4257039,45993,1508
217.7770978,45919,1573
218.156935,45839,1641
218.5223722,45762,1710
218.8477381,45694,1779
219.2331116,45614,1850
219.5734506,45543,1930
219.8890831,45477,2002
220.2481968,45403,2077
220.6084095,45329,2152
220.969777,45255,2228
221.3322285,45181,2303
221.738755,45098,2368
222.0690788,45031,2447
222.381629,44968,2501
222.731494,44897,2557
223.0183323,44839,2648
223.5311031,44737,2755
224.0457937,44634,2844
224.6456563,44515,2942
224.9632245,44452,3014
225.2242875,44400,3050
225.7084178,44305,3123
226.4005484,44170,3195
226.8034789,44091,3270
227.1900477,44016,3319
227.9090149,43877,3413
228.6969099,43726,3515
229.4716967,43578,3564
230.251448,43431,3595
231.0691762,43277,3618
231.8256717,43136,3581
232.6204614,42988,3549
233.4203231,42841,3495
234.2157344,42696,3422
234.6968098,42608,3341
235.3746398,42485,3282
235.9183943,42388,3167
236.4471766,42293,3117
236.7341285,42241,3081
236.9455145,42204,2998
237.3681565,42129,2906
237.9014297,42034,2810
238.3273694,41959,2717
238.7447573,41886,2625
239.0934335,41825,2540
239.5134696,41751,2452
239.9346967,41678,2357
240.1685497,41637,2277
240.5507904,41571,2195
240.8407017,41521,2111
241.2462063,41451,2030
241.5300308,41403,1950
241.7738611,41361,1884
242.1313258,41300,1820
242.3212091,41268,1754
242.7144794,41201,1686
242.9913603,41154,1619
243.1030674,41135,1561
243.3914917,41086,1504
243.6749056,41038,1439
243.9640459,40990,1373
244.1962433,40951,1310
244.5075773,40899,1249
244.7141744,40864,1237
244.8473118,40842,1183
245.0176401,40813,1153
245.0685423,40805,1122
245.3234296,40763,1100
245.3817337,40753,1065
245.5662342,40722,1003
245.6284092,40712,1026
245.8693411,40672,963
246.1140612,40632,919
246.2352014,40612,879
246.5557493,40559,844
246.7027743,40535,814
246.8870828,40504,780
247.1248803,40465,744
247.3690216,40425,715
247.5703029,40393,684
247.7886894,40357,666
247.8561991,40346,648
248.1006361,40306,628
248.1882693,40292,611
248.3367577,40268,585
248.6370548,40219,558
248.7859844,40195,534
249.0875008,40147,510
249.364578,40102,490
249.6162604,40061,467
249.673039,40052,474
249.6896034,40050,445
249.8147116,40030,429
250.0216192,39997,411
250.2652814,39958,397
250.3007301,39952,384
250.6190379,39901,362
250.6206765,39901,371
250.9823054,39843,351
251.0573874,39832,340
251.1329078,39820,330
251.2556179,39800,311
251.2580884,39800,322
251.4568423,39768,304
251.6676655,39735,291
251.8995785,39698,283
251.9756515,39686,276
252.128579,39662,263
252.3990735,39620,252
252.6365595,39583,241
252.8433126,39550,229
253.1010349,39510,218
253.2114706,39493,212
253.3141106,39477,205
253.454099,39455,197
253.5131157,39446,193
253.676591,39420,188
253.8404921,39395,184
253.969823,39375,179
254.1453273,39348,171
254.3013577,39323,165
254.4577549,39299,159
254.6669437,39267,152
254.9296571,39227,145
255.1645388,39190,136
255.1664852,39190,139
255.4025532,39154,131
255.5605867,39130,127
255.7643691,39098,122
255.9088189,39076,118
256.1554595,39039,113
256.3999569,39002,108
256.6340621,38966,104
256.8116103,38939,100
256.970073,38915,96
257.1467043,38888,94
257.1484294,38888,97
257.3147907,38863,92
257.4745902,38839,88
257.7975321,38790,84
258.1481324,38737,80
258.159862,38736,82
258.2411017,38724,77
258.4439252,38693,75
258.6383349,38664,72
258.9316636,38620,69
259.1761489,38584,67
259.4209464,38547,64
259.6165109,38518,62
259.974158,38465,59
260.0754537,38450,57
260.4608637,38393,55
260.7359397,38353,52
261.0678534,38304,51
261.3722116,38260,49
261.7053494,38211,47
262.039409,38162,45
262.3744298,38113,43
262.7105595,38065,42
263.1243142,38005,40
263.5270776,37947,39
263.8381194,37902,37
264.4356812,37816,36
264.7773497,37768,35
265.3665945,37684,34
265.8963218,37609,32
266.5757932,37513,32
266.9396591,37462,31
267.28795,37413,30
267.8258845,37338,29
268.5179101,37241,28
269.2262345,37143,27
269.938391,37045,27
270.654325,36947,26
271.4040769,36845,25
272.2487966,36731,24
273.0070139,36629,23
273.7389308,36531,23
274.4749883,36433,22
278.3514031,35926,18
278.7471359,35875,18
278.9720292,35846,17
279.5450449,35772,17
279.7355612,35748,17
280.4896853,35652,16
281.0821531,35577,15
284.9997112,35088,12
285.4974895,35027,12
285.6680486,35006,12
286.0859422,34955,11
286.6468586,34886,11
286.9254081,34852,11
287.3469912,34801,11
287.7048091,34758,10
